Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.05,4.261,0.52,0.52,0.001,0.5
3,0.041,3.967,0.538,0.538,0.002,0.41
4,0.029,4.355,0.544,0.544,0.002,0.355
5,0.021,4.936,0.555,0.555,0.005,0.321
6,0.02,4.677,0.554,0.549,0.005,0.297
