Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
3,0.318,1.882,0.888,0.249,0.692,0.828
4,0.187,2.003,0.903,0.415,0.486,0.688
5,0.163,2.199,0.902,0.366,0.462,0.669
6,0.171,1.994,0.916,0.386,0.474,0.677
7,0.096,2.234,0.917,0.568,0.322,0.554
