Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.399,0.986,0.8,0.8,0.343,0.685
3,0.306,1.079,0.8,0.8,0.303,0.648
4,0.33,1.158,0.8,0.8,0.307,0.587
5,0.271,1.335,0.8,0.8,0.305,0.581
6,0.256,1.228,0.8,0.8,0.29,0.565
