Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.359,1.041,0.576,0.554,0.007,0.507
3,0.233,1.63,0.607,0.558,0.021,0.428
4,0.181,1.486,0.585,0.58,0.012,0.368
5,0.158,1.66,0.585,0.585,0.002,0.329
6,0.087,2.015,0.612,0.612,0.008,0.305
