Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.379,0.953,0.531,0.531,-0.0,0.524
3,0.288,1.127,0.58,0.58,0.018,0.422
4,0.214,1.418,0.58,0.58,0.01,0.361
5,0.168,1.499,0.598,0.598,0.017,0.347
6,0.116,1.672,0.585,0.585,0.008,0.302
