Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.455,0.855,0.58,0.58,0.021,0.509
3,0.367,0.974,0.629,0.629,0.043,0.434
4,0.299,1.094,0.621,0.621,0.03,0.375
5,0.235,1.276,0.629,0.629,0.02,0.336
6,0.193,1.514,0.634,0.634,0.02,0.305
