Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.334,1.339,0.627,0.608,0.004,0.665
3,0.284,2.699,0.633,0.432,-0.008,0.621
4,0.236,2.506,0.631,0.47,-0.009,0.549
5,0.229,2.25,0.631,0.527,-0.005,0.494
6,0.216,3.026,0.631,0.534,-0.006,0.438
