Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.029,5.541,0.295,0.283,0.01,0.377
3,0.015,6.673,0.293,0.275,0.004,0.328
4,0.02,5.608,0.309,0.308,0.008,0.286
5,0.024,5.114,0.303,0.303,0.006,0.256
6,0.026,4.852,0.312,0.311,0.011,0.229
