Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.004,35.966,0.256,0.249,-0.001,0.359
3,0.001,26.127,0.269,0.267,-0.001,0.289
4,0.015,12.904,0.283,0.283,0.002,0.266
5,0.024,5.243,0.327,0.327,0.022,0.245
6,0.016,7.709,0.34,0.338,0.024,0.224
