Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.351,1.173,0.664,0.508,-0.003,0.528
3,0.265,1.361,0.664,0.637,0.016,0.446
4,0.228,1.488,0.664,0.629,0.004,0.375
5,0.212,1.634,0.664,0.545,0.005,0.347
6,0.18,1.681,0.664,0.502,0.002,0.314
