Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.405,0.942,0.775,0.775,0.284,0.652
3,0.416,1.081,0.775,0.75,0.252,0.575
4,0.396,0.97,0.8,0.8,0.257,0.575
5,0.269,1.237,0.8,0.8,0.244,0.536
6,0.206,1.372,0.8,0.8,0.234,0.523
