Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.049,4.355,0.319,0.319,0.011,0.361
3,0.021,5.95,0.282,0.272,-0.001,0.306
4,0.019,5.355,0.286,0.281,0.002,0.276
5,0.023,4.489,0.319,0.319,0.007,0.253
6,0.026,4.004,0.332,0.331,0.01,0.232
