Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.453,0.921,0.543,0.386,-0.001,0.447
3,0.42,0.907,0.543,0.367,0.001,0.374
4,0.405,0.847,0.543,0.422,-0.001,0.321
5,0.376,0.884,0.543,0.415,0.002,0.296
6,0.352,0.949,0.543,0.428,-0.002,0.267
