Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.41,1.042,0.56,0.233,-0.001,0.452
3,0.374,1.093,0.56,0.323,-0.007,0.385
4,0.274,1.802,0.56,0.323,-0.001,0.331
5,0.258,1.726,0.56,0.314,-0.003,0.296
6,0.214,2.262,0.56,0.388,0.0,0.268
