Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.453,0.93,0.535,0.237,-0.001,0.458
3,0.408,0.915,0.535,0.323,-0.006,0.393
4,0.422,0.809,0.535,0.368,-0.004,0.332
5,0.353,0.912,0.535,0.4,0.001,0.29
6,0.342,0.891,0.535,0.409,-0.002,0.271
