Clusters,Silhouette,DB,Purity,Rel. Purity,ARI,FMI
2,0.164,2.085,0.669,0.517,-0.001,0.527
3,0.088,2.585,0.669,0.597,0.003,0.431
4,0.054,3.57,0.669,0.61,-0.001,0.372
5,0.033,4.266,0.669,0.564,-0.002,0.334
6,0.017,4.611,0.669,0.564,0.004,0.308
